kegg_id,drug_name,drug_name_jp,drug_name_0_jp
D00679,Ergotamine tartrate (JP18/USP); Ergomar (TN),,エルゴタミン酒石酸塩
D00680,Methylergonovine maleate (USP); Methylergometrine maleate (JP18); Methergine (TN),パルタン,メチルエルゴメトリンマレイン酸塩
D00681,Methysergide maleate (USP); Sansert (TN),,マレイン酸メチセルジド
D00682,Carboprost tromethamine (USP); Hemabate (TN),,カルボプロストトロメタミン
D00683,Albuterol sulfate (USP); Salbutamol sulfate (JP18); Accuneb (TN); Proventil (TN); Ventolin (TN),サルタノール,サルブタモール硫酸塩
D00684,Bitolterol mesylate (USAN); Bitolterol mesilate (JAN); Tornalate (TN),,メシル酸ビトルテロール
D00685,Metaproterenol sulfate (USP); Orciprenaline sulfate (JP18); Alupent (TN),,オルシプレナリン硫酸塩
D00686,Pirbuterol acetate (USAN); Maxair (TN),,酢酸ピルブテロール
D00687,Salmeterol xinafoate (JAN/USP); Serevent (TN),セレベント,サルメテロールキシナホ酸塩
D00688,Terbutaline sulfate (JP18/USP); Brethine (TN),ブリカニール,テルブタリン硫酸塩
D00689,Beclomethasone dipropionate (USP); Beclometasone dipropionate (JP18); Beclovent (TN); Qnasl (TN); Vanceril (TN),キュバール,ベクロメタゾンプロピオン酸エステル
D00690,Mometasone furoate (JAN/USP); Asmanex (TN); Elocon (TN),アズマネックス,モメタゾンフランカルボン酸エステル
D00691,Dyphylline (USP); Diprophylline (JAN/INN); Lufyllin (TN),ジプロフィリン,ジプロフィリン
D00693,Chlordiazepoxide hydrochloride (JAN/USP); Librium (TN),,塩酸クロルジアゼポキシド
D00694,Clorazepate dipotassium (JP18/USP); Tranxene (TN),メンドン,クロラゼプ酸二カリウム
D00695,Flurazepam hydrochloride (USP); Flurazepam dihydrochloride; Dalmane (TN),,塩酸フルラゼパム
D00696,Midazolam hydrochloride (USAN); Versed (TN),,塩酸ミダゾラム
D00697,Flumazenil (JAN/USP/INN); Romazicon (TN),アネキセート,フルマゼニル
D00698,Aprobarbital (INN); Alurate (TN),,アプロバルビタール
D00699,Butabarbital sodium (USP); Secbutabarbital sodium (INN); Butabarb (TN); Butisol sodium (TN),,ブタバルビタールナトリウム
D00700,Mephobarbital (JAN/USP); Methylphenobarbital (INN); Mebaral (TN),,メホバルビタール
D00701,Phenobarbital sodium (JAN/USP/INN); Luminal sodium (TN),ノーベルバール,フェノバルビタールナトリウム
D00702,Buspirone hydrochloride (USP); Buspar (TN),,ブスピロン塩酸塩
D00703,Ethinamate (JAN/INN); Valmid (TN),,エチナメート
D00704,Ethchlorvynol (JAN/USP/INN); Placidyl (TN),,エスクロルビノール
D00705,Paraldehyde (USP); Paral (TN),,パラアルデヒド
D00706,Zolpidem tartrate (JP18/USP); Ambien (TN); Intermezzo (TN),マイスリー,ゾルピデム酒石酸塩
D00707,Fomepizole (JAN/USAN/INN); Antizol (TN),ホメピゾール,ホメピゾール
D00708,Ethotoin (JAN/USP/INN); Accenon (TN); Peganone (TN),アクセノン,エトトイン
D00709,Levetiracetam (JAN/USP/INN); Keppra (TN); E keppra (TN),イーケプラ,レベチラセタム
D00710,Valproate sodium (USAN); Sodium valproate (JP18); Depakene (TN); Selenica (TN),セレニカ,バルプロ酸ナトリウム
D00711,Ketamine hydrochloride (JP18/USP); Ketalar (TN),ケタラール,ケタミン塩酸塩
D00712,Methohexital sodium (USP); Brevital sodium (TN),,メトヘキシタールナトリウム
D00713,Thiamylal sodium (JP18); Surital (TN),イソゾール,チアミラールナトリウム
D00714,Thiopental sodium (JP18/USP/INN); Pentothal (TN),ラボナール,チオペンタールナトリウム
D00715,Methscopolamine bromide (USP); Hyoscine methobromide (INN); Pamine (TN),,ヒヨスシンメトブロミド
D00716,Clidinium bromide (USP/INN); Quarzan (TN),,臭化クリジニウム
D00717,Dicyclomine hydrochloride (JAN/USP); Dicycloverine hydrochloride; Bentyl (TN); Urispas (TN),,ジサイクロミン塩酸塩
D00718,Flavoxate hydrochloride (JP18/USP); Urispas (TN),フラボキサート塩酸塩,フラボキサート塩酸塩
D00719,Hyoscyamine sulfate (USP); Hyoscyamine sulfate dihydrate; Egacene (TN),,硫酸ヒヨスチアミン
D00720,Mepenzolate bromide (JP18/INN); Cantil (TN),,メペンゾラート臭化物
D00721,Methanthelinium bromide (INN); Methantheline bromide; Banthine (TN),,臭化メタンテリニウム
D00722,Oxybutynin chloride (USP); Oxybutynin hydrochloride (JP18); Ditropan (TN); Gelnique (TN),アポハイド,オキシブチニン塩酸塩
D00723,Tridihexethyl chloride (BAN); Pathilon (TN),,塩化トリジヘキセチル
D00724,Rabeprazole sodium (JP18/USP); Aciphex (TN); Pariet (TN),パリエット,ラベプラゾールナトリウム
D00725,Dolasetron mesylate (USP); Anzemet (TN),,ドラセトロンメシル酸塩
D00726,Metoclopramide (JP18/INN); Elieten (TN); Terperan (TN),プリンペラン,メトクロプラミド
D00727,Olsalazine sodium (USAN); Dipentum (TN),,オルサラジンナトリウム
D00728,Bismuth subsalicylate (JAN/USP); Pepto-bismol (TN),,次サリチル酸ビスマス
D00729,Loperamide hydrochloride (JAN/USP); Imodium (TN),ロペミン,ロペラミド塩酸塩
D00730,Butamben (USP); 4-Aminobenzoic acid butyl; Butesin (TN),,ブタンベン
D00731,"Magnesium hydroxide (JAN/USP); Magnesia, (Milk of) (USP); Milmag (TN); Mint-o-mag (TN)",ミルマグ,水酸化マグネシウム
D00732,Chloroprocaine hydrochloride (USP); Clorotekal (TN); Iheezo (TN); Nesacaine (TN),,塩酸クロロプロカイン
D00733,Dibucaine (USP); Cinchocaine (INN); Nupercaine (TN),,ジブカイン
D00734,Ursodiol (USP); Ursodeoxycholic acid (JP18/INN); Actigall (TN); Urso (TN),ウルソ,ウルソデオキシコール酸
D00735,Dyclonine hydrochloride (USP); Dyclone (TN); Dyclopro (TN),,塩酸ジクロニン
D00736,Trientine hydrochloride (JP18/USP); Trientine dihydrochloride; Syprine (TN),メタライト,トリエンチン塩酸塩
D00737,Etidocaine hydrochloride; Duranest (TN),,エチドカイン塩酸塩
D00738,Mepivacaine hydrochloride (JP18/USP); Carbocaine (TN); Polocaine (TN); Scandonest plain (TN),カルボカイン,メピバカイン塩酸塩
D00739,Pramoxine hydrochloride (USP); Pramocaine hydrochloride; Tronothane (TN),,プラモキシン塩酸塩
D00740,Procaine hydrochloride (JP18/USP); Novocain (TN),プロカイン塩酸塩,プロカイン塩酸塩
D00741,Tetracaine hydrochloride (JP18/USP); Protocaine hydrochloride (TN),,テトラカイン塩酸塩
D00742,Etanercept (USAN/INN); Etanercept (genetical recombination) (JAN); Etanercept (genetical recombination) [Etanercept biosimilar 1] (JAN); Etanercept (genetical recombination) [Etanercept biosimilar 2] (JAN); Enbrel (TN),エンブレル,エタネルセプト
D00743,Naphazoline hydrochloride (JP18/USP); Albalon (TN); Vasocon (TN),,ナファゾリン塩酸塩
D00744,Pemoline (JAN/USAN/INN); Cylert (TN),,ペモリン
D00745,Interferon alfa-2a (USAN/INN); Interferon alfa-2a (genetical recombination) (JAN); Roferon A (TN),,インターフェロンアルファ-2a
D00746,Interferon beta-1b (USAN/INN); Interferon beta-1b (genetical recombination) (JAN); Betaseron (TN); Extavia (TN),ベタフェロン,インターフェロンベータ-1b
D00747,Interferon gamma-1b (USAN/INN); Actimmune (TN),,インターフェロンガンマ-1b
D00748,Aldesleukin (USAN/INN); Interleukin-2; Proleukin (TN),,アルデスロイキン
D00749,Leflunomide (JAN/USP/INN); Arava (TN),アラバ,レフルノミド
D00750,Levamisole hydrochloride (USP); Ergamisol (TN),,レバミソール塩酸塩
D00751,Methylprednisolone sodium succinate (JAN/USP); A-methapred (TN); Solu-medrol (TN),ソル・メドロール,メチルプレドニゾロンコハク酸エステルナトリウム
D00752,Mycophenolate mofetil (JAN/USP); Cellcept (TN),セルセプト,ミコフェノール酸モフェチル
D00753,Sirolimus (JAN/USAN/INN); Rapamune (TN); Rapamycin (TN),ラパリムス,シロリムス
D00754,Thalidomide (JAN/USP/INN); Thalomid (TN); Thaled (TN),サレド,サリドマイド
D00755,Phenyramidol hydrochloride (USAN); Fenyramidol hydrochloride,,塩酸フェニラミドール
D00756,Tetrahydrozoline nitrate (JAN); Narbel (TN),,テトラヒドロゾリン硝酸塩
D00757,Xylometazoline hydrochloride (USP); Neo-Synephrine II (TN),,塩酸キシロメタゾリン
D00758,Atracurium besylate (USP); Atracurium besilate (INN); Tracrium (TN),,ベシル酸アトラクリウム
D00759,Cisatracurium besylate (USP); Cisatracurium besilate (INN); Nimbex (TN),,ベシル酸シサトラクリウム
D00760,Doxacurium chloride (USAN/INN); Nuromax (TN),,塩化ドキサクリウム
D00761,Metocurine iodide (USAN); Metubine iodide (TN),,ヨウ化メトクリン
D00762,Metyrosine (USP); Metirosine (JAN/INN); Demser (TN),デムサー,メチロシン
D00763,Mivacurium chloride (USAN/INN); Mivacron (TN),,塩化ミバクリウム
D00764,Pipecuronium bromide (JAN/USAN/INN); Arduan (TN),,ピペクロニウム臭化物
D00765,Rocuronium bromide (JAN/USP/INN); Zemuron (TN),エスラックス,ロクロニウム臭化物
D00766,Succinylcholine chloride (USP); Suxamethonium chloride (INN); Anectine (TN); Quelicin (TN),,塩化サクシニルコリン
D00767,Vecuronium bromide (JAN/USP/INN); Norcuron (TN),,ベクロニウム臭化物
D00768,Carisoprodol (JAN/USP/INN); Soma (TN),,カリソプロドール
D00769,Clopidogrel bisulfate (USP); Clopidogrel sulfate (JP18); Clopidogrel sulfate tablets (JP18); Clopidogrel hydrogen sulphate; Isocover (TN); Plavix (TN),プラビックス,クロピドグレル硫酸塩
D00770,Chlorphenesin carbamate (JP18/USAN); Maolate (TN),リンラキサー,クロルフェネシンカルバミン酸エステル
D00771,Chlorzoxazone (JAN/USP/INN); Paraflex (TN),,クロルゾキサゾン
D00772,Cyclobenzaprine hydrochloride (USP); Flexeril (TN),,シクロベンザプリン塩酸塩
D00773,Metaxalone (USP/INN); Skelaxin (TN),,メタキサロン
D00774,Orphenadrine citrate (USP); Norflex (TN),,オルフェナドリンクエン酸塩
D00775,Riluzole (JAN/USP/INN); Rilutek (TN),リルテック,リルゾール
D00776,Tizanidine hydrochloride (JP18/USP); Zanaflex (TN),チザニジン,チザニジン塩酸塩
D00777,Amantadine hydrochloride (JP18/USP); Symmetrel (TN); Gocovri (TN); Osmolex er (TN),シンメトレル,アマンタジン塩酸塩
D00778,Benztropine mesylate (USP); Benztropine mesilate (JAN); Cogentin (TN),,メシル酸ベンツトロピン
D00779,Biperiden (JAN/USP/INN); Akineton (TN),,ビペリデン
D00780,Bromocriptine mesylate (USP); Bromocriptine mesilate (JP18); Parlodel (TN),パーロデル,ブロモクリプチンメシル酸塩
D00781,Entacapone (JP18/USP/INN); Comtan (TN),コムタン,エンタカポン
D00782,Procyclidine hydrochloride (USP); Kemadrin (TN),,塩酸プロシクリジン
D00783,Botulinum toxin type A (JAN); Botox (TN); Dysport (TN),ボトックス,A型ボツリヌス毒素
D00784,Ropinirole hydrochloride (JAN/USP); Requip (TN),ハルロピ,ロピニロール塩酸塩
D00785,Selegiline hydrochloride (JAN/USP); Eldepryl (TN),エフピー,セレギリン塩酸塩
D00786,Tolcapone (JAN/USP/INN); Tasmar (TN),,トルカポン
D00787,Trihexyphenidyl hydrochloride (JP18/USP); Artane (TN),アーテン,トリヘキシフェニジル塩酸塩
D00788,Acetophenazine maleate (USAN); Tindal (TN),,マレイン酸アセトフェナジン
D00789,Chlorpromazine hydrochloride (JP18/USP); Sonazine (TN),クロルプロマジン塩酸塩,クロルプロマジン塩酸塩
D00790,Chlorprothixene (JAN/USAN/INN); Taractan (TN),,クロルプロチキセン
D00791,Fluphenazine hydrochloride (JAN/USP); Prolixin (TN),,塩酸フルフェナジン
D00792,Fluphenazine enanthate (JP18/USP); Prolixin enanthate (TN),,フルフェナジンエナント酸エステル
D00793,Fluphenazine decanoate (JAN/USP); Prolixin decanoate (TN),フルデカシン,フルフェナジンデカン酸エステル
D00794,Loxapine succinate (USP); Loxitane (TN),,コハク酸ロキサピン
D00795,Mesoridazine besylate (USP); Serentil (TN),,メソリダジンベシレート
D00796,Molindone hydrochloride (USP); Moban (TN),,塩酸モリンドン
D00797,Promazine hydrochloride (USP); Sparine (TN),,塩酸プロマジン
D00798,Thioridazine hydrochloride (JP18/USP); Mellaril (TN),,チオリダジン塩酸塩
D00799,Trifluoperazine hydrochloride (JAN/USP); Stelazine (TN),,塩酸トリフロペラジン
D00800,Triflupromazine hydrochloride (JAN/USP); Vesprin (TN),,塩酸トリフルプロマジン
D00801,Lithium carbonate (JP18/USP); Eskalith (TN); Lithobid (TN),リーマス,炭酸リチウム
D00802,Bithionol (JAN/INN); Bithin (TN),,ビチオノール
D00803,Diethylcarbamazine citrate (JP18/USP); Hetrazan (TN),スパトニン,ジエチルカルバマジンクエン酸塩
D00804,Ivermectin (JAN/USP/INN); Sklice (TN); Soolantra (TN); Stromectol (TN),ストロメクトール,イベルメクチン
D00805,Metrifonate (USP/INN); Trichlorfon (USAN),,メトリホネート
D00806,Oxantel pamoate (USAN); Telopar (TN),,パモ酸オキサンテル
D00807,Piperazine (USP); Vermizine (TN),,ピペラジン
D00808,Suramin hexasodium (USAN); Bayer 205 (TN),,スラミンヘキサナトリウム
D00809,Amitriptyline hydrochloride (JP18/USP); Elavil (TN),アミトリプチリン塩酸塩,アミトリプチリン塩酸塩
D00810,Choline salicylate (JAN/USAN/INN); Arthropan (TN),,サリチル酸コリン
D00811,Clomipramine hydrochloride (JP18/USP); Anafranil (TN),アナフラニール,クロミプラミン塩酸塩
D00812,Desipramine hydrochloride (JAN/USP); Norpramin (TN),,塩酸デシプラミン
D00813,Ketorolac tromethamine (USP); Acular (TN); Toradol (TN),,ケトロラクトロメタミン
D00814,Doxepin hydrochloride (USP); Sinequan (TN); Zonalon (TN),,ドキセピン塩酸塩
D00815,Imipramine hydrochloride (JP18/USP); Tofranil (TN),イミドール,イミプラミン塩酸塩
D00816,Nortriptyline hydrochloride (JP18/USP/INN); Pamelor (TN),ノリトレン,ノルトリプチリン塩酸塩
D00817,Bupropion hydrochloride (JAN/USP); Wellbutrin (TN); Zyban (TN),,ブプロピオン塩酸塩
D00818,Maprotiline hydrochloride (JP18/USP); Ludiomil (TN),マプロチリン塩酸塩,マプロチリン塩酸塩
D00819,Nefazodone hydrochloride (USP); Serzone (TN),,ネファゾドン塩酸塩
D00820,Trazodone hydrochloride (JAN/USP); Desyrel (TN),レスリン,トラゾドン塩酸塩
D00821,Venlafaxine hydrochloride (JAN/USP); Effexor (TN),イフェクサー,ベンラファキシン塩酸塩
D00822,Citalopram hydrobromide (USP); Celexa (TN),,シタロプラム臭化水素酸塩
D00823,Fluoxetine hydrochloride (JAN/USP); Prozac (TN); Sarafem (TN),,フルオキセチン塩酸塩
D00824,Fluvoxamine maleate (JP18/USP); Luvox (TN),デプロメール,フルボキサミンマレイン酸塩
D00825,Sertraline hydrochloride (JAN/USP); Zoloft (TN),ジェイゾロフト,セルトラリン塩酸塩
D00826,Tranylcypromine sulfate (USP); Parnate (TN),,硫化トラニルシプロミン
D00827,Magnesium salicylate (USP); Magnesium salicylate tetrahydrate; Magan (TN),,サリチル酸マグネシウム
D00828,Dehydroemetine (INN); Mebadin (TN),,デヒドロエメチン
D00829,Eflornithine hydrochloride (USAN); Iwilfin (TN); Vaniqa (TN),,塩酸エフロルニチン
D00830,Furazolidone (USP/INN); Furoxone (TN),,フラゾリドン
D00831,Mefloquine hydrochloride (JP18/USP); Lariam (TN),メファキン,メフロキン塩酸塩
D00832,Melarsoprol (INN); Mel B (TN),,メラルソプロール
D00833,Nifurtimox (USAN/INN); Lampit (TN),,ニフルチモックス
D00834,Pentamidine isethionate (USP); Pentamidine isetionate (JAN); Pentam 300 (TN),ベナンバックス,ペンタミジンイセチオン酸塩
D00835,Alfentanil hydrochloride (USP); Alfenta (TN),,塩酸アルフェンタニル
D00836,Buprenorphine hydrochloride (JP18/USP); Buprenex (TN),ブプレノルフィン,ブプレノルフィン塩酸塩
D00837,Butorphanol tartrate (JAN/USP); Stadol (TN),,酒石酸ブトルファノール
D00838,Dezocine (USAN); Dalgan (TN),,デゾシン
D00839,Hydromorphone hydrochloride (JAN/USP); Dilaudid (TN); Exalgo (TN); Palladone (TN),ナルサス,ヒドロモルフォン塩酸塩
D00840,Levomethadyl acetate hydrochloride (USAN); Orlaam (TN),,酢酸レボメタジル塩酸塩
D00841,Levorphanol tartrate (USP); Levorphanol tartrate dihydrate; Levo-dromoran (TN),,酒石酸レボルファノール
D00842,Morphine sulfate (USP); Morphine sulfate hydrate (JP18); Morphine sulfate pentahydrate; Astramor PH (TN); Avinza (TN); Depodur (TN); Kadian (TN); MS contin (TN),MSコンチン,モルヒネ硫酸塩水和物
D00843,Nalbuphine hydrochloride (USAN); Nubain (TN),,塩酸ナルブフィン
D00844,Oxymorphone hydrochloride (USP); Numorphan (TN); Opana (TN),,オキシモルホン塩酸塩
D00845,Sufentanil citrate (USP); Dsuvia (TN); Sufenta (TN),,クエン酸スフェンタニル
D00846,Hydrocodone bitartrate and acetaminophen; Hydrocodone bitartrate and paracetamol; Vicodin (TN),,酒石酸水素ヒドロコドン・アセトアミノフェン
D00847,Oxycodone hydrochloride (USP); Oxecta (TN); Oxycontin (TN); Roxicodone (TN),,オキシコドン塩酸塩
D00848,Dextromethorphan hydrobromide (USP); Dextromethorphan hydrobromide hydrate (JP18); Benylin DM (TN),メジコン,デキストロメトルファン臭化水素酸塩水和物
D00849,Methacycline hydrochloride (JAN/USP); Rondomycin (TN),,塩酸メタサイクリン
D00850,Minocycline hydrochloride (JP18/USP); Arestin (TN); Dynacin (TN); Minocin (TN); Solodyn (TN),ペリオクリン,ミノサイクリン塩酸塩
D00851,Erythromycin estolate (USP); Erythromycin estorate (JAN); Ilosone (TN),,エリスロマイシンエストレート
D00852,Quinupristin (JAN/USAN/INN),,キヌプリスチン
D00853,Dalfopristin (JAN/USAN/INN),,ダルホプリスチン
D00854,Quinupristin and dalfopristin; Synercid (TN),,キヌプリスチン・ダルホプリスチン
D00855,Methenamine hippurate (JAN/USP); Hiprex (TN); Urex (TN),,ヒプル酸メテナミン
D00856,Methenamine mandelate (USP); Hexamine mandelate (JAN); Mandelamine (TN),,マンデル酸ヘキサミン
D00857,Benzalkonium chloride (JP18/NF/INN); Zephiran chloride (TN),ALクレミール,ベンザルコニウム塩化物
D00858,Chlorhexidine gluconate (JP18/USP); Hibiclens (TN); Peridex (TN); Periogard (TN),アセスクリン,クロルヘキシジングルコン酸塩
D00859,Hexachlorophene (USP/INN); Phisohex (TN),,ヘキサクロロフェン
D00860,Iodine-potassium iodide; Lugol's solution (TN),,ヨウ化カリウム K
D00861,Mercurochrome (JAN); Merbromin (INN); Mercurochrome (TN),,マーキュロクロム
D00862,Nitrofurazone (USP); Nitrofural (INN); Furacin (TN),,ニトロフラゾン
D00863,Povidone-iodine (JP18/USP); Betadine (TN),イソジン,ポビドンヨード
D00864,Thimerosal (JAN/USP); Thiomersal (INN); Merthiolate (TN),,チメロサール
D00865,Amikacin sulfate (JP18/USP); Amikin (TN),アミカシン硫酸塩,アミカシン硫酸塩
D00866,Kanamycin sulfate (USP); Kanamycin monosulfate (JP18); Kantrex (TN),カナマイシン,カナマイシン一硫酸塩
D00867,Netilmicin sulfate (JAN/USP); Netromycin (TN),,ネチルマイシン硫酸塩
D00868,Paromomycin sulfate (JAN/USP); Humatin (TN),アメパロモ,パロモマイシン硫酸塩
D00869,Spectinomycin hydrochloride (USP); Spectinomycin hydrochloride hydrate (JP18); Trobicin (TN),トロビシン,スペクチノマイシン塩酸塩水和物
D00870,Sulfamethizole (JP18/USP/INN); Thiosulfil (TN),,スルファメチゾール
D00871,Sulfacetamide sodium (USP); Bleph (TN); Cetamide (TN); Klaron (TN),,スルファセタミドナトリウム
D00872,Cinoxacin (JP18/USP/INN); Cinobac (TN),,シノキサシン
D00873,Lomefloxacin hydrochloride (JAN/USAN); Maxaquin (TN),バレオン,ロメフロキサシン塩酸塩
D00874,Moxifloxacin hydrochloride (JAN/USP); Avelox (TN); Vigamox (TN),アベロックス,モキシフロキサシン塩酸塩
D00875,Aminosalicylate sodium (USP); Parasal sodium (TN),,アミノサリチル酸ナトリウム
D00877,Cycloserine (JP18/USP/INN); Seromycin (TN),サイクロセリン,サイクロセリン
D00878,Ethambutol hydrochloride (JP18/USP); Myambutol (TN),エサンブトール,エタンブトール塩酸塩
D00879,Rifapentine (USAN/INN); Priftin (TN),,リファペンチン
D00880,Butoconazole nitrate (USP); Femstat (TN); Gynazole-1 (TN),,硝酸ブトコナゾール
D00881,Econazole nitrate (JAN/USP); Ecoza (TN); Spectazole (TN),,エコナゾール硝酸塩
D00882,Miconazole nitrate (JP18/USP); Micatin (TN); Monistat (TN),フロリード,ミコナゾール硝酸塩
D00883,Naftifine hydrochloride (USP); Naftin (TN),,塩酸ナフチフィン
D00884,Natamycin (USP/INN); Pimaricin (JP18); Natacyn (TN),ピマリシン,ピマリシン
D00885,Oxiconazole nitrate (JAN/USAN); Oxistat (TN),オキナゾール,オキシコナゾール硝酸塩
D00886,Sulconazole nitrate (JAN/USP); Exelderm (TN),エクセルダーム,スルコナゾール硝酸塩
D00887,Atorvastatin calcium anhydorous; Lipitor (TN),,アトルバスタチンカルシウム
D00888,Terconazole (USP/INN); Terazol 3 (TN),,テルコナゾール
D00889,Cerivastatin sodium (JAN/USAN); Baycol (TN),,セリバスタチンナトリウム
D00890,Tioconazole (JAN/USP/INN); Vagistat-1 (TN),,チオコナゾール
D00891,Abacavir sulfate (JAN/USP); Ziagen (TN),ザイアジェン,アバカビル硫酸塩
D00892,Fluvastatin sodium (JAN/USP); Lescol (TN),ローコール,フルバスタチンナトリウム
D00893,Pravastatin sodium (JP18/USP); CS-514; Pravachol (TN),プラバスタチンナトリウム,プラバスタチンナトリウム
D00894,Amprenavir (JAN/USAN/INN); Agenerase (TN),,アンプレナビル
D00895,Delavirdine mesylate (USAN); Delavirdine mesilate (JAN); Rescriptor (TN),,デラビルジンメシル酸塩
D00896,Efavirenz (JAN/USP/INN); Sustiva (TN),,エファビレンツ
D00897,Indinavir sulfate (USP); Crixivan (TN),,硫酸インジナビル
D00898,Dienestrol (USP/INN); DV (TN),,ジエネストロール
D00899,Nelfinavir mesylate (USAN/INN); Nelfinavir mesilate (JAN); Viracept (TN),,ネルフィナビルメシル酸塩
D00900,Oseltamivir phosphate (JAN/USP); Tamiflu (TN); Ebilfumin (TN),タミフル,オセルタミビルリン酸塩
D00901,Rimantadine hydrochloride (USP); Flumadine (TN),,リマンタジン塩酸塩
D00902,Zanamivir (USP/INN); Relenza (TN),,ザナミビル
D00903,Diclofenac potassium (USP); Cambia (TN); Cataflam (TN); Zipsor (TN),,ジクロフェナクカリウム
D00904,Diclofenac sodium (JP18/USP); Solaraze (TN); Voltaren (TN),ジクトル,ジクロフェナクナトリウム
D00905,Cefazolin sodium (JP18/USP); Ancef (TN),セファゾリンNa,セファゾリンナトリウム
D00906,Cephalexin (USP); Cephalexin monohydrate; Cefalexin; Keftab (TN); Panixine disperdose (TN),,セファレキシン水和物
D00907,Cephalothin sodium (USP); Cefalotin sodium (JP18); Keflin (TN),,セファロチンナトリウム
D00908,Cephapirin sodium (USP); Cefapirin sodium (JAN); Cefadyl (TN),,セファピリンナトリウム
D00909,Cefamandole nafate (USP); Mandol (TN),,セファマンドールナファート
D00910,Cefmetazole (USP/INN),,セフメタゾール
D00911,Cefmetazole sodium (JP18/USP); Zefazone (TN),セフメタゾン,セフメタゾールナトリウム
D00912,Cefonicid sodium (USP); Monocid (TN),,セフォニシドニナトリウム
D00913,Cefoxitin sodium (JAN/USP); Mefoxin (TN),,セフォキシチンナトリウム
D00914,Cefuroxime axetil (JP18/USP/INN); Ceftin (TN),オラセフ,セフロキシム アキセチル
D00915,Cefuroxime sodium (JAN/USP); Zinacef (TN),,セフロキシムナトリウム
D00916,Loracarbef (USP); Loracarbef monohydrate; Lorabid (TN),,ロラカルベフ水和物
D00917,Cefdinir (JP18/USP/INN); Cefzon (TN); Omnicef (TN),セフジニル,セフジニル
D00918,Cefoperazone sodium (JP18/USP); Cefobid (TN),,セフォペラゾンナトリウム
D00919,Cefotaxime sodium (JP18/USP); Claforan (TN),クラフォラン,セフォタキシムナトリウム
D00920,Cefpodoxime proxetil (JP18/USP); Vantin (TN),バナン,セフポドキシム プロキセチル
D00921,Ceftazidime (USP); Ceftazidime hydrate (JP18); Ceftazidime pentahydrate; Fortaz (TN); Tazicef (TN),セフタジジム,セフタジジム水和物
D00922,Ceftibuten (USAN/INN),,セフチブテン
D00923,Ceftizoxime sodium (JP18/USP); Cefizox (TN); Epocelin (TN),エポセリン,セフチゾキシムナトリウム
D00924,Ceftriaxone sodium (USP); Ceftriaxone sodium hydrate (JP18); Rocephin (TN),セフトリアキソンNa,セフトリアキソンナトリウム水和物
D00925,Fosfomycin tromethamine (USP); Monurol (TN),,ホスホマイシントロメタミン
D00926,Vancomycin hydrochloride (JP18/USP); Vancoled (TN); Vancocin (TN),バンコマイシン,バンコマイシン塩酸塩
D00927,Bacampicillin hydrochloride (JP18/USAN); Spectrobid (TN),ペングッド,バカンピシリン塩酸塩
D00928,Nafcillin sodium (USP); Nafcillin sodium monohydrate; Unipen (TN),,ナフシリンナトリウム
D00929,Oxacillin sodium (JAN/USP); Oxacillin sodium hydrate; Bactocill (TN),,オキサシリンナトリウム
D00930,Paricalcitol (JAN/USP/INN); Zemplar (TN),,パリカルシトール
D00931,Calcium acetate (USP); Phoslo (TN),,酢酸カルシウム
D00932,"Calcium carbonate (USP); Precipitated calcium carbonate (JP18); Calcium carbonate, precipitated (JAN); Cal-sup (TN)",カルタン,沈降炭酸カルシウム
D00933,Calcium citrate (USP); Calcium citrate tetrahydrate; Citracal (TN),,クエン酸カルシウム水和物
D00934,Calcium gluceptate (USP); Calcium glucoheptonate (INN); Calcium gluceptate (TN),,グルセプト酸カルシウム
D00935,Calcium gluconate (USP),,グルコン酸カルシウム
D00936,Calcium lactate (USP); Prequist powder (TN),,乳酸カルシウム
D00937,"Calcium phosphate, dihydrate, dibasic (USP); Dibasic calcium phosphate hydrate (JP18); Dibasic calcium phosphate (TN); Calster (TN)",第二リン灰,リン酸水素カルシウム水和物
D00938,Tricalcium phosphate; Posture (TN),,リン酸三カルシウム
D00939,Alendronate sodium (USP); Alendronate sodium hydrate (JP18); Binosto (TN); Fosamax (TN),アレンドロン酸,アレンドロン酸ナトリウム水和物
D00940,Gallium nitrate (USAN); Ganite (TN),,硝酸ガリウム
D00941,Pamidronate disodium (USP); Pamidronate disodium hydrate (JAN); Pamidronate disodium pentahydrate; Aredia (TN),,パミドロン酸二ナトリウム水和物
D00942,Risedronate sodium (USP); Actonel (TN),,リセドロン酸ナトリウム
D00943,Sodium fluoride (JAN/USP); Fluorinse (TN),Fバニッシュ,フッ化ナトリウム
D00944,Metformin hydrochloride (JP18/USP); Glucophage (TN),グリコラン,メトホルミン塩酸塩
D00945,Pioglitazone hydrochloride (JP18/USP); Actos (TN),アクトス,ピオグリタゾン塩酸塩
D00946,Diethylstilbestrol diphosphate (USP); Fosfestrol (JAN/INN); Stilphostrol (TN),,ホスフェストロール
D00947,Linezolid (JAN/USAN/INN); Zyvox (TN),ザイボックス,リネゾリド
D00948,Estropipate (USP); Piperazine estrone sulfate; Ogen (TN),,エストロピペート
D00949,Hydroxyprogesterone caproate (JAN/USP/INN); Delalutin (TN); Hylutin (TN); Makena (TN),プロゲ,ヒドロキシプロゲステロンカプロン酸エステル
D00950,Levonorgestrel (JAN/USP/INN); Mirena (TN); Norplant (TN); Skyla (TN),ノルレボ,レボノルゲストレル
